"LCAP_ID","OBJECTID","LCAP_LINK","TYPE_2","DIRECTION","F1","NETWORKS_2","ITN_STARTS","ITN_ENDS","LENGTH","CORE","BOROUGH","DOUGHNUT","TLRN","ORN","PSA4","SRN","BPRN","TLRN_100","ORN_100","PSA4_100","SRN_100","BPRN_100","SPEED","SPEED_0","SPEED_20","SPEED_30","SPEED_40","SPEED_50","SPEED_60","SPEED_ND","SPEED_NM","SPEED_NS","AM","INTER","PM","ON_","PERCENTAGE","PAE_REGION","RULEID","NAME_1","Shape_Leng"
1745,35,"203tfl-205tfl","Central","East",NA,"CCER-CCER","203tfl","205tfl",2184.5564284,"Yes","City of London","Central","Yes","Yes","No","No","No",100,100,0,0,0,30,0,0,100.00091301,0,0,0,0,0,0,1552.67538704,1271.6720261,1229.8190238,399.03092157,76.95377218,"Central",0,"A3211 Victoria Embankment / Upper Thames St NEB",2184.5564284
1747,36,"001tfl-203tfl","Central","West",NA,"CCER-CCER","001tfl","203tfl",3384.12704307,"Yes","City of London","Central","Yes","Yes","No","No","No",100,100,0,0,0,30,0,0,100.00058381,0,0,0,0,0,0,1267.93691926,1030.80036479,1305.60695561,347.69603527,74.43338932,"Central",0,"A3211 Tower Hill / A3211 Embankment SWB",3384.12704307
417,120,"186tfl-019tfl","Central","North",NA,"CCER-CCER","186tfl","019tfl",1614.57011089,"Yes","City of London","Central","Yes","No","Yes","No","No",100,0,96.80840302,0,0,30,0,0,100.00122637,0,0,0,0,0,0,557.49726007,483.76544188,515.34935744,153.06407997,96.37181136,"Central",0,"A10 Bishops Gate NEB",1614.57011089
1878,149,"001tfl-530tfl","Radial","East",NA,"CCER-NW8","001tfl","530tfl",718.99705291,"Yes","Tower Hamlets","Central","Yes","Yes","Yes","No","No",100,78.71839905,63.4787178,0,0,30,0,0,100.00277312,0,0,0,0,0,0,1457.2700864,1266.09688879,1499.63184379,411.62578364,82.41857692,"East",0,"A1203 Tower Hill / East Smithfield SEB",718.997052908
1604,214,"019tfl-186tfl","Central","South",NA,"CCER-CCER","019tfl","186tfl",1567.82531208,"Yes","City of London","Central","Yes","No","Yes","No","No",100,0,94.29322052,0,0,30,0,0,100.00126398,0,0,0,0,0,0,495.11598218,499.84678734,569.12105892,154.96677942,96.68403831,"Central",0,"A10 Bishopsgate / Monument SWB",1567.82531208
1620,265,"185tfl-001tfl","Central","N/A",NA,"CCER-CCER","185tfl","001tfl",1269.44457731,"No","City of London","Central","Yes","Yes","No","No","No",93.15481567,93.15481567,0,0,6.84518814,30,0,0,100.0015594,0,0,0,0,0,0,1259.40593173,1014.73766459,1287.92221788,343.18033202,75.91087367,"Central",0,"A3211 Southwark Bridge to Tower Hill SEB",1269.44457731
1447,375,"192tfl-521tfl","Central","N/A",NA,"CDRI-NW8","192tfl","521tfl",728.8135741,"No","Camden","Central","No","No","No","Yes","Yes",0,0,0,100,99.34153748,30,0,0,100.0027567,0,0,0,0,0,0,565.34309197,620.00178785,710.07008781,188.30030074,75.15210799,"Central",0,"A40 High Holborn NWB",728.813574096
1622,395,"191tfl-203tfl","Central","N/A",NA,"CDRI-CCER","191tfl","203tfl",1955.69114622,"No","City of London","Central","Yes","Yes","No","No","No",100,57.04665375,0,0,0,30,0,0,100.00101848,0,0,0,0,0,0,1169.37368273,1028.31103393,1360.98108272,344.17824073,60.77451896,"Central",0,"A201 Farringdon Rd / A3211 Victoria Embankment SWB",1955.69114622
1407,477,"177tfl-186tfl","Central","N/A",NA,"CDRI-CCER","177tfl","186tfl",1395.04553553,"No","Southwark","Central","Yes","No","No","No","No",100,49.97885895,29.82633209,0,0,30,0,0,100.00142716,0,0,0,0,0,0,597.57263177,462.32720551,499.17744516,151.18083602,93.40552885,"Central",0,"A2205 Bermondsey St / A200 Tooley St / London Br NWB",1395.04553553
2357,622,"194tfl-186tfl","Central","N/A",NA,"CCER-CCER","194tfl","186tfl",1348.18896106,"No","Southwark","Central","Yes","Yes","No","No","No",99.99999237,61.61842346,41.99085236,0,0,30,0,0,100.00147164,0,0,0,0,0,0,780.14001805,722.153501,739.43199297,222.22809628,87.01406324,"Central",0,"A3200 Southwark St / London Bridge NEB",1348.18896106
2059,659,"191tfl-188tfl","Central","North",NA,"CDRI-CCER","191tfl","188tfl",1027.55148481,"Yes","Islington","Central","Yes","No","No","No","No",66.46061707,0,0,0,33.53939056,30,0,0,100.00193277,0,0,0,0,0,0,694.2226247,748.76276547,774.60070107,221.96599294,97.80738176,"Central",0,"A201 Farringdon Rd / Clerkenwell Rd NEB",1027.55148481
2358,682,"186tfl-194tfl","Central","N/A",NA,"CCER-CCER","186tfl","194tfl",1496.49370518,"No","Southwark","Central","Yes","Yes","No","No","No",100,70.65052795,41.364048,0,0,30,0,0,100.00133151,0,0,0,0,0,0,688.27851227,624.89500984,680.08236745,196.14454493,92.93319557,"Central",0,"A3200 London Bridge / Southwark St SWB",1496.49370518
2043,705,"007tfl-006tfl","Central","N/A",NA,"CDRI-CCER","007tfl","006tfl",226.13722253,"Yes","City of London","Central","No","No","No","Yes","Yes",0,0,0,96.27683258,96.27683258,30,0,0,100.00882511,0,0,0,0,0,0,782.33,887,917,260,97.38858313,"Central",0,"A1211 St Botolph St / Aldgate High St SWB",226.137222531
2044,706,"006tfl-003tfl","Central","N/A",NA,"CCER-CCER","006tfl","003tfl",288.00652256,"Yes","City of London","Central","No","No","No","Yes","Yes",0,0,0,100.00000763,100.00000763,30,0,0,100.00687331,0,0,0,0,0,0,200,256,217.33,69,84.37662281,"Central",0,"A1211 Minories SEB",288.00652256
2047,770,"007tfl-223tfl","Radial","Outbound",NA,"CDRI-NW2","007tfl","223tfl",3121.78375567,"No","Tower Hamlets","Inner","Yes","No","No","No","No",96.97451782,7.24676943,26.23966789,2.7570374,2.7570374,30,0,0,100.00063746,0,0,0,0,0,0,1039.49697613,757.99303549,752.42484118,248.12030467,98.63952125,"East",0,"A13 Commercial Rd SEB",3121.78375567
2344,777,"203tfl-191tfl","Central","N/A",NA,"CCER-CDRI","203tfl","191tfl",1912.40580857,"No","City of London","Central","Yes","Yes","No","No","No",100,60.40062332,0,0,0,30,0,0,100.0010436,0,0,0,0,0,0,1431.61290482,1151.76793047,1115.56456656,363.48626827,78.15771202,"Central",0,"A3211 Embankment / Farringdon Rd NEB",1912.40580857
433,817,"186tfl-163tfl","Central","South",NA,"CCER-CCER","186tfl","163tfl",1817.65990717,"Yes","Southwark","Central","Yes","No","Yes","No","No",59.98099899,9.89172268,100,0,40.54169464,30,0,0,100.00109204,0,0,0,0,0,0,508.01489828,516.14788626,661.86159515,165.4434543,97.41478754,"Central",0,"A3 London Bridge / Borough High St / Newington C'way SWB",1817.65990717
434,818,"186tfl-179tfl","Central","N/A",NA,"CCER-CCER","186tfl","179tfl",1147.81163029,"No","Southwark","Central","Yes","Yes","No","No","No",100,60.66545105,36.73822784,0,0,30,0,0,100.00172394,0,0,0,0,0,0,445.45326333,523.76121298,640.47857288,159.84603011,94.73707762,"Central",0,"A3 London Bridge / A200 Tooley St SEB",1147.81163029
446,902,"193tfl-186tfl","Central","North",NA,"CCER-CCER","193tfl","186tfl",1069.66301435,"Yes","Southwark","Central","Yes","No","Yes","No","No",100,14.025424,92.23396301,0,0,30,0,0,100.00186467,0,0,0,0,0,0,982.11403733,719.21384372,761.18963966,238.73444673,96.68020398,"Central",0,"A3 Borough High St / London Bridge NEB",1069.66301435
447,903,"006tfl-187tfl","Central","N/A",NA,"CCER-CDRI","006tfl","187tfl",2118.68622146,"No","City of London","Central","No","No","No","Yes","Yes",0,0,0,78.04048157,100,30,0,0,100.00094767,0,0,0,0,0,0,565.78147025,559.94928416,469.63206177,160.97395236,97.75996783,"Central",0,"A1211 London Wall / A1 Aldersgate St NWB",2118.68622146
452,965,"191tfl-189tfl","Central","N/A",NA,"CDRI-CCER","191tfl","189tfl",710.08583457,"No","Camden","Central","Yes","No","No","No","No",100,0,0,0,0,30,0,0,100.00280042,0,0,0,0,0,0,760.2386212,787.99952669,826.29383923,236.82369646,96.14938375,"Central",0,"A201 Farringdon Rd NWB",710.08583457
453,966,"184tfl-191tfl","Central","North",NA,"CCER-CDRI","184tfl","191tfl",892.57151051,"Yes","City of London","Central","Yes","No","No","No","No",100,0,0,0,0,30,0,0,100.00223727,0,0,0,0,0,0,981.58513144,851.32549852,878.15725858,266.92591521,54.44471124,"Central",0,"A201 Blackfriars Bridge / Farringdon Rd NWB",892.571510508
